date,Close
20080320  09:30:00,131.32
20080320  09:30:00,131.32
20080320  09:30:00,131.32
20080320  10:00:00,130.91
20080320  10:00:00,130.91
20080320  10:00:00,130.91
20080320  10:00:00,130.91
20080320  10:30:00,130.75
20080320  10:30:00,130.75
20080320  10:30:00,130.75
20080320  10:30:00,130.75
20080320  11:00:00,130.6
20080320  11:00:00,130.6
20080320  11:00:00,130.6
20080320  11:00:00,130.6
20080320  11:30:00,131.05
20080320  11:30:00,131.05
20080320  11:30:00,131.05
20080320  11:30:00,131.05
20080320  12:00:00,131.54
20080320  12:00:00,131.54
20080320  12:00:00,131.54
20080320  12:00:00,131.54
20080320  12:30:00,131.72
20080320  12:30:00,131.72
20080320  12:30:00,131.72
20080320  12:30:00,131.72
20080320  13:00:00,132.39
20080320  13:00:00,132.39
20080320  13:00:00,132.39
20080320  13:00:00,132.39
20080320  13:30:00,132.42
20080320  13:30:00,132.42
20080320  13:30:00,132.42
20080320  13:30:00,132.42
20080324  08:00:00,134.49
20080324  08:30:00,134.8
20080324  09:00:00,135.05
20080324  09:30:00,135.13
20080324  10:00:00,135.13
20080324  10:30:00,135.42
20080324  11:00:00,135.48
20080324  11:30:00,135.56
20080324  12:00:00,135.54
20080324  12:30:00,135.44
20080324  13:00:00,134.95
20080324  13:30:00,134.78
20080325  08:00:00,134.15
20080325  08:30:00,134.21
20080325  09:00:00,134.49
20080325  09:30:00,134.68
20080325  10:00:00,134.34
20080325  10:30:00,135.01
20080325  11:00:00,134.97
20080325  11:30:00,135.15
20080325  12:00:00,135.33
20080325  12:30:00,135.14
20080325  13:00:00,135.48
20080325  13:30:00,135.4
20080326  08:00:00,134.27
20080326  08:30:00,133.96
20080326  09:00:00,133.77
20080326  09:30:00,134.06
20080326  10:00:00,134.05
20080326  10:30:00,133.95
20080326  11:00:00,133.7
20080326  11:30:00,133.66
20080326  12:00:00,133.6
20080326  12:30:00,133.81
20080326  13:00:00,134.52
20080326  13:30:00,133.78
20080327  08:00:00,134.05
20080327  08:30:00,133.06
